ESPN,KP
Duke,Duke
Gonzaga,Gonzaga
North Carolina,North Carolina
Virginia,Virginia
Kentucky,Kentucky
Michigan State,Michigan St.
Tennessee,Tennessee
Michigan,Michigan
Texas Tech,Texas Tech
Houston,Houston
Purdue,Purdue
Kansas,Kansas
Florida St,Florida St.
Virginia Tech,Virginia Tech
LSU,LSU
Auburn,Auburn
Kansas State,Kansas St.
Buffalo,Buffalo
Villanova,Villanova
Maryland,Maryland
Mississippi St,Mississippi St.
Iowa State,Iowa St.
Syracuse,Syracuse
Cincinnati,Cincinnati
Louisville,Louisville
Wisconsin,Wisconsin
Marquette,Marquette
UCF,UCF
Wofford,Wofford
Ole Miss,Mississippi
Utah State,Utah St.
Nevada,Nevada
Florida,Florida
Washington,Washington
Oklahoma,Oklahoma
Seton Hall,Seton Hall
VCU,VCU
Murray State,Murray St.
Oregon,Oregon
Minnesota,Minnesota
Iowa,Iowa
Baylor,Baylor
Ohio State,Ohio St.
Liberty,Liberty
Belmont,Belmont
Saint Mary's,Saint Mary's
ASU/SJU,Arizona St.
UC Irvine,UC Irvine
New Mexico St,New Mexico St.
Yale,Yale
Saint Louis,Saint Louis
Vermont,Vermont
Northeastern,Northeastern
Old Dominion,Old Dominion
Georgia State,Georgia St.
N Kentucky,Northern Kentucky
Montana,Montana
Colgate,Colgate
Bradley,Bradley
Abil Christian,Abilene Christian
Gardner-Webb,Gardner Webb
F. Dickinson,Fairleigh Dickinson
Iona,Iona
NDS/NCC,North Dakota St.
